horizon,gauss_window,gauss_std,coord_mode,orb_multiplier,include_phases,max_depth,learning_rate,weight_power,sideways_penalty,n_estimators,subsample,colsample_bytree,bal_acc,f1_macro,mcc,recall_down,recall_up,recall_min,recall_gap,up_down_min,up_down_gap
1,201,50.0,both,0.15,True,5,0.05,2.0,1.0,500,0.8,0.8,0.3228728045218315,0.23571749887539362,-0.011704032681662091,0.21287128712871287,0.5833333333333334,0.21287128712871287,0.37046204620462053,0.21287128712871287,0.37046204620462053
1,101,50.0,geo,0.15,True,9,0.01,2.0,0.3,500,0.8,0.8,0.35617862942681505,0.34953881734703646,0.011560021561198557,0.3582089552238806,0.2127659574468085,0.2127659574468085,0.14544299777707206,0.2127659574468085,0.14544299777707206
1,201,50.0,geo,0.15,True,9,0.03,2.0,0.3,500,0.8,0.8,0.3572478553274047,0.3417296842284179,0.029885983443905403,0.2722772277227723,0.20833333333333334,0.20833333333333334,0.06394389438943895,0.20833333333333334,0.06394389438943895
1,201,50.0,both,0.15,True,5,0.03,2.0,1.0,500,0.8,0.8,0.33142676952424305,0.2410796542838586,0.002575744742052674,0.19306930693069307,0.6041666666666666,0.19306930693069307,0.41109735973597356,0.19306930693069307,0.41109735973597356
1,101,50.0,geo,0.15,True,9,0.03,2.0,0.3,500,0.8,0.8,0.3158542179261107,0.30263339931118416,-0.032445594622493815,0.24875621890547264,0.19148936170212766,0.19148936170212766,0.057266857203344984,0.19148936170212766,0.057266857203344984
1,101,50.0,both,0.15,True,5,0.05,2.0,1.0,500,0.8,0.8,0.34054808125089825,0.2755843082413267,0.02360290825288667,0.1890547263681592,0.5106382978723404,0.1890547263681592,0.32158357150418115,0.1890547263681592,0.32158357150418115
1,201,50.0,both,0.15,True,9,0.03,2.0,0.5,500,0.8,0.8,0.34254031930286627,0.3335126345765221,0.04397261830264322,0.5445544554455446,0.1875,0.1875,0.3570544554455446,0.1875,0.3570544554455446
1,201,100.0,both,0.15,True,9,0.05,2.0,1.0,500,0.8,0.8,0.37028955322716733,0.24882818887412464,0.06646130595246781,0.18446601941747573,0.7333333333333333,0.18446601941747573,0.5488673139158575,0.18446601941747573,0.5488673139158575
1,201,100.0,geo,0.15,True,9,0.05,2.0,0.3,500,0.8,0.8,0.37508161819418184,0.370902314743553,0.06353492869152141,0.4029126213592233,0.17777777777777778,0.17777777777777778,0.2251348435814455,0.17777777777777778,0.2251348435814455
1,101,50.0,geo,0.15,True,3,0.03,2.0,1.0,500,0.8,0.8,0.3660175166375354,0.28935319338463356,0.0269363263653509,0.17412935323383086,0.5531914893617021,0.17412935323383086,0.3790621361278713,0.17412935323383086,0.3790621361278713
1,101,50.0,geo,0.15,True,9,0.05,2.0,1.0,500,0.8,0.8,0.35342453964393566,0.22163185047694164,0.02504249647977506,0.17412935323383086,0.7446808510638298,0.17412935323383086,0.5705514978299989,0.17412935323383086,0.5705514978299989
