exclude_bodies,n_excluded,n_features,bal_acc,f1_macro,mcc,recall_down,recall_up,recall_min,recall_gap,up_down_min,up_down_gap
"Venus,Jupiter",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Venus,Saturn",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Venus,Uranus",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Venus,Neptune",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Venus,Pluto",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Venus,Node",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Mars,Jupiter",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Mars,Saturn",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Mars,Uranus",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Mars,Neptune",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Mars,Pluto",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Mars,Node",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Jupiter,Saturn",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Jupiter,Uranus",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Jupiter,Neptune",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Jupiter,Pluto",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Jupiter,Node",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Saturn,Uranus",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Saturn,Neptune",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Saturn,Pluto",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Saturn,Node",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Uranus,Neptune",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Uranus,Pluto",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Uranus,Node",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Neptune,Pluto",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
"Neptune,Node",2,91,0.3459575021541563,0.3175612988734261,0.03301116837025669,0.6881188118811881,0.0,0.0,0.6881188118811881,0.0,0.6881188118811881
